No.,Paper name,Link,Authors,Year,Source,Cited,Description
0,Omni-Scale Feature Learning for Person Re-Identification,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=gRIejugAAAAJ&citation_for_view=gRIejugAAAAJ:qjMakFHDy7sC,"Kaiyang Zhou, Yongxin Yang, Andrea Cavallaro, Tao Xiang",2019,"IEEE International Conference on Computer Vision (ICCV), 2019",368,"As an instance-level recognition problem, person re-identification (ReID) relies on discriminative features, which not only capture different spatial scales but also encapsulate an arbitrary combination of multiple scales. We callse features of both homogeneous and heterogeneous scales omni-scale features. In this paper, a novel deep ReID CNN is designed, termed Omni-Scale Network (OSNet), for omni-scale feature learning. This is achieved by designing a residual block composed of multiple convolutional feature streams, each detecting features at a certain scale. Importantly, a novel unified aggregation gate is introduced to dynamically fuse multi-scale features with input-dependent channel-wise weights. To efficiently learn spatial-channel correlations and avoid overfitting, the building block uses both pointwise and depthwise convolutions. By stacking such blocks layer-by-layer, our OSNet is extremely lightweight and can be trained from scratch on existing ReID benchmarks. Despite its small model size, our OSNet achieves state-of-the-art performance on six person-ReID datasets. Code and models are available at: https://github. com/KaiyangZhou/deep-person-reid."
1,Deep Reinforcement Learning for Unsupervised Video Summarization with Diversity-Representativeness Reward,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=gRIejugAAAAJ&citation_for_view=gRIejugAAAAJ:9yKSN-GCB0IC,"Kaiyang Zhou, Yu Qiao, Tao Xiang",2018,"AAAI Conference on Artificial Intelligence (AAAI), 2018",219,"Video summarization aims to facilitate large-scale video browsing by producing short, concise summaries that are diverse and representative of original videos. In this paper, we formulate video summarization as a sequential decision-making process and develop a deep summarization network (DSN) to summarize videos. DSN predicts for each video frame a probability, which indicates how likely a frame is selected, and then takes actions based on the probability distributions to select frames, forming video summaries. To train our DSN, we propose an end-to-end, reinforcement learning-based framework, where we design a novel reward function that jointly accounts for diversity and representativeness of generated summaries and does not rely on labels or user interactions at all. During training, the reward function judges how diverse and representative the generated summaries are, while DSN strives for earning higher rewards by learning to produce more diverse and more representative summaries. Since labels are not required, our method can be fully unsupervised. Extensive experiments on two benchmark datasets show that our unsupervised method not only outperforms other state-of-the-art unsupervised methods, but also is comparable to or even superior than most of published supervised approaches."
2,Learning to Generate Novel Domains for Domain Generalization,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=gRIejugAAAAJ&citation_for_view=gRIejugAAAAJ:YsMSGLbcyi4C,"Kaiyang Zhou, Yongxin Yang, Timothy Hospedales, Tao Xiang",2020,"European Conference on Computer Vision (ECCV), 2020",82," This paper focuses on domain generalization (DG), the task of learning from multiple source domains a model that generalizes well to unseen domains. A main challenge for DG is that the available source domains often exhibit limited diversity, hampering the model’s ability to learn to generalize. We therefore employ a data generator to synthesize data from pseudo-novel domains to augment the source domains. This explicitly increases the diversity of available training domains and leads to a more generalizable model. To train the generator, we model the distribution divergence between source and synthesized pseudo-novel domains using optimal transport, and maximize the divergence. To ensure that semantics are preserved in the synthesized data, we further impose cycle-consistency and classification losses on the generator. Our method, L2A-OT (Learning to Augment by Optimal Transport …"
3,Domain Generalization with MixStyle,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=gRIejugAAAAJ&citation_for_view=gRIejugAAAAJ:WF5omc3nYNoC,"Kaiyang Zhou, Yongxin Yang, Yu Qiao, Tao Xiang",2021,"International Conference on Learning Representations (ICLR), 2021",81,"Though convolutional neural networks (CNNs) have demonstrated remarkable ability in learning discriminative features, they often generalize poorly to unseen domains. Domain generalization aims to address this problem by learning from a set of source domains a model that is generalizable to any unseen domain. In this paper, a novel approach is proposed based on probabilistically mixing instance-level feature statistics of training samples across source domains. Our method, termed MixStyle, is motivated by the observation that visual domain is closely related to image style (e.g., photo vs.~sketch images). Such style information is captured by the bottom layers of a CNN where our proposed style-mixing takes place. Mixing styles of training instances results in novel domains being synthesized implicitly, which increase the domain diversity of the source domains, and hence the generalizability of the trained model. MixStyle fits into mini-batch training perfectly and is extremely easy to implement. The effectiveness of MixStyle is demonstrated on a wide range of tasks including category classification, instance retrieval and reinforcement learning."
4,Domain Generalization in Vision: A Survey,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=gRIejugAAAAJ&citation_for_view=gRIejugAAAAJ:ufrVoPGSRksC,"Kaiyang Zhou, Ziwei Liu, Yu Qiao, Tao Xiang, Chen Change Loy",2021,"arXiv preprint arXiv:2103.02503, 2021",75,"Generalization to out-of-distribution (OOD) data is a capability natural to humans yet challenging for machines to reproduce. This is because most learning algorithms strongly rely on the i.i.d.~assumption on source/target data, which is often violated in practice due to domain shift. Domain generalization (DG) aims to achieve OOD generalization by using only source data for model learning. Since first introduced in 2011, research in DG has made great progresses. In particular, intensive research in this topic has led to a broad spectrum of methodologies, e.g., those based on domain alignment, meta-learning, data augmentation, or ensemble learning, just to name a few; and has covered various vision applications such as object recognition, segmentation, action recognition, and person re-identification. In this paper, for the first time a comprehensive literature review is provided to summarize the developments in DG for computer vision over the past decade. Specifically, we first cover the background by formally defining DG and relating it to other research fields like domain adaptation and transfer learning. Second, we conduct a thorough review into existing methods and present a categorization based on their methodologies and motivations. Finally, we conclude this survey with insights and discussions on future research directions."
5,Deep Domain-Adversarial Image Generation for Domain Generalisation,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=gRIejugAAAAJ&citation_for_view=gRIejugAAAAJ:Tyk-4Ss8FVUC,"Kaiyang Zhou, Yongxin Yang, Timothy Hospedales, Tao Xiang",2020,"AAAI Conference on Artificial Intelligence (AAAI), 2020",75,"Machine learning models typically suffer from the domain shift problem when trained on a source dataset and evaluated on a target dataset of different distribution. To overcome this problem, domain generalisation (DG) methods aim to leverage data from multiple source domains so that a trained model can generalise to unseen domains. In this paper, we propose a novel DG approach based on Deep Domain-Adversarial Image Generation (DDAIG). Specifically, DDAIG consists of three components, namely a label classifier, a domain classifier and a domain transformation network (DoTNet). The goal for DoTNet is to map the source training data to unseen domains. This is achieved by having a learning objective formulated to ensure that the generated data can be correctly classified by the label classifier while fooling the domain classifier. By augmenting the source training data with the generated unseen domain data, we can make the label classifier more robust to unknown domain changes. Extensive experiments on four DG datasets demonstrate the effectiveness of our approach."
6,Torchreid: A Library for Deep Learning Person Re-Identification in PyTorch,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=gRIejugAAAAJ&citation_for_view=gRIejugAAAAJ:IjCSPb-OGe4C,"Kaiyang Zhou, Tao Xiang",2019,"arXiv preprint arXiv:1910.10093, 2019",60,"Person re-identification (re-ID), which aims to re-identify people across different camera views, has been significantly advanced by deep learning in recent years, particularly with convolutional neural networks (CNNs). In this paper, we present Torchreid, a software library built on PyTorch that allows fast development and end-to-end training and evaluation of deep re-ID models. As a general-purpose framework for person re-ID research, Torchreid provides (1) unified data loaders that support 15 commonly used re-ID benchmark datasets covering both image and video domains, (2) streamlined pipelines for quick development and benchmarking of deep re-ID models, and (3) implementations of the latest re-ID CNN architectures along with their pre-trained models to facilitate reproducibility as well as future research. With a high-level modularity in its design, Torchreid offers a great flexibility to allow easy extension to new datasets, CNN models and loss functions."
7,Learning Generalisable Omni-Scale Representations for Person Re-Identification,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=gRIejugAAAAJ&citation_for_view=gRIejugAAAAJ:UeHWp8X0CEIC,"Kaiyang Zhou, Yongxin Yang, Andrea Cavallaro, Tao Xiang",2021,"IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI), 2021",56,"An effective person re-identification (re-ID) model should learn feature representations that are both discriminative, for distinguishing similar-looking people, and generalisable, for deployment across datasets without any adaptation. In this paper, we develop novel CNN architectures to address both challenges. First, we present a re-ID CNN termed omni-scale network (OSNet) to learn features that not only capture different spatial scales but also encapsulate a synergistic combination of multiple scales, namely omni-scale features. The basic building block consists of multiple convolutional streams, each detecting features at a certain scale. For omni-scale feature learning, a unified aggregation gate is introduced to dynamically fuse multi-scale features with channel-wise weights. OSNet is lightweight as its building blocks comprise factorised convolutions. Second, to improve generalisable feature learning, we …"
8,Domain Adaptive Ensemble Learning,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=gRIejugAAAAJ&citation_for_view=gRIejugAAAAJ:Y0pCki6q_DkC,"Kaiyang Zhou, Yongxin Yang, Yu Qiao, Tao Xiang",2021,"IEEE Transactions on Image Processing (TIP), 2021",40,"The problem of generalizing deep neural networks from multiple source domains to a target one is studied under two settings: When unlabeled target data is available, it is a multi-source unsupervised domain adaptation (UDA) problem, otherwise a domain generalization (DG) problem. We propose a unified framework termed domain adaptive ensemble learning (DAEL) to address both problems. A DAEL model is composed of a CNN feature extractor shared across domains and multiple classifier heads each trained to specialize in a particular source domain. Each such classifier is an expert to its own domain but a non-expert to others. DAEL aims to learn these experts collaboratively so that when forming an ensemble, they can leverage complementary information from each other to be more effective for an unseen target domain. To this end, each source domain is used in turn as a pseudo-target-domain with its …"
9,Learning to Prompt for Vision-Language Models,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=gRIejugAAAAJ&citation_for_view=gRIejugAAAAJ:5nxA0vEk-isC,"Kaiyang Zhou, Jingkang Yang, Chen Change Loy, Ziwei Liu",2021,"arXiv preprint arXiv:2109.01134, 2021",33,"Vision-language pre-training has recently emerged as a promising alternative for representation learning. It shifts from the tradition of using images and discrete labels for learning a fixed set of weights, seen as visual concepts, to aligning images and raw text for two separate encoders. Such a paradigm benefits from a broader source of supervision and allows zero-shot transfer to downstream tasks since visual concepts can be diametrically generated from natural language, known as prompt. In this paper, we identify that a major challenge of deploying such models in practice is prompt engineering. This is because designing a proper prompt, especially for context words surrounding a class name, requires domain expertise and typically takes a significant amount of time for words tuning since a slight change in wording could have a huge impact on performance. Moreover, different downstream tasks require specific designs, further hampering the efficiency of deployment. To overcome this challenge, we propose a novel approach named context optimization (CoOp). The main idea is to model context in prompts using continuous representations and perform end-to-end learning from data while keeping the pre-trained parameters fixed. In this way, the design of task-relevant prompts can be fully automated. Experiments on 11 datasets show that CoOp effectively turns pre-trained vision-language models into data-efficient visual learners, requiring as few as one or two shots to beat hand-crafted prompts with a decent margin and able to gain significant improvements when using more shots (e.g., at 16 shots the average gain is around 17% with the …"
