No.,Paper name,Link,Authors,Year,Source,Cited,Description
0,Application and benchmarking of multi-objective evolutionary algorithms on high-dose-rate brachytherapy planning for prostate cancer treatment,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:MXK_kJrjxJIC,"Ngoc Hoang Luong, Tanja Alderliesten, Arjan Bel, Yury Niatsetski, Peter AN Bosman",2017,"Swarm and Evolutionary Computation, 2017",27,"High-Dose-Rate (HDR) brachytherapy (BT) treatment planning involves determining an appropriate schedule of a radiation source moving through a patient's body such that target volumes are irradiated with the planning-aim dose as much as possible while healthy tissues (i.e., organs at risk) should not be irradiated more than certain thresholds. Such movement of a radiation source can be defined by so-called dwell times at hundreds of potential dwell positions, which must be configured to satisfy a clinical protocol of multiple different treatment criteria within a strictly-limited time frame of not more than one hour. In this article, we propose a bi-objective optimization model that intuitively encapsulates in two objectives the complicated high-dimensional multi-criteria nature of the BT treatment planning problem. The resulting Pareto-optimal fronts exhibit possible trade-offs between the coverage of target volumes and …"
1,Expanding from discrete Cartesian to permutation gene-pool optimal mixing evolutionary algorithms,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:ufrVoPGSRksC,"Peter AN Bosman, Ngoc Hoang Luong, Dirk Thierens",2016,"Proceedings of the Genetic and Evolutionary Computation Conference 2016, 637-644, 2016",27,"The recently introduced Gene-pool Optimal Mixing Evolutionary Algorithm (GOMEA) family, which includes the Linkage Tree Genetic Algorithm (LTGA), has been shown to scale excellently on a variety of discrete, Cartesian-space, optimization problems. This paper shows that GOMEA can quite straightforwardly also be used to solve permutation optimization problems by employing the random keys encoding of permutations. As a test problem, we consider permutation flowshop scheduling, minimizing the total flow time on 120 different problem instances (Taillard benchmark). The performance of GOMEA is compared with the recently published generalized Mallows estimation of distribution algorithm (GM-EDA). Statistical tests show that results of GOMEA variants are almost always significantly better than results of GM-EDA. Moreover, even without using local search, the new GOMEA variants obtained the best …"
2,Multi-objective gene-pool optimal mixing evolutionary algorithms,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:zYLM7Y9cAGgC,"Ngoc Hoang Luong, Han La Poutré, Peter AN Bosman",2014,"Proceedings of the 2014 Annual Conference on Genetic and Evolutionary …, 2014",26,"The recently introduced Gene-pool Optimal Mixing Evolutionary Algorithm (GOMEA), with a lean, but sufficient, linkage model and an efficient variation operator, has been shown to be a robust and efficient methodology for solving single objective (SO) optimization problems with superior performance compared to classic genetic algorithms (GAs) and estimation-of-distribution algorithms (EDAs). In this paper, we bring the strengths of GOMEAs to the multi-objective (MO) optimization realm. To this end, we modify the linkage learning procedure and the variation operator of GOMEAs to better suit the need of finding the whole Pareto-optimal front rather than a single best solution. Based on state-of-the-art studies on MOEAs, we further pinpoint and incorporate two other essential components for a scalable MO optimizer. First, the use of an elitist archive is beneficial for keeping track of non-dominated solutions when the …"
3,Multi-objective optimization techniques and applications in electric power systems,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:Y0pCki6q_DkC,"MOW Grond, NH Luong, J Morren, JG Slootweg",2012,"2012 47th International Universities Power Engineering Conference (UPEC), 1-6, 2012",25,"Efficient operation and planning of power systems is important for a reliable and sustainable electricity supply. Therefore, optimization techniques have been applied to several optimization problems in power systems in order to achieve technical and economic efficiency. This paper presents an overview of existing optimization techniques and applications in power systems, with a special focus on multi-objective optimization in power system planning. Power system planning is by its nature a very complex multi-objective optimization problem involving perspectives of different stakeholders. Besides, a single stakeholder can also have various objectives that need to be optimized at the same time. This paper provides a review of the state-of-the-art in multi-objective evolutionary algorithms applied to power systems planning problems."
4,Multi-objective gene-pool optimal mixing evolutionary algorithm with the interleaved multi-start scheme,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:3fE2CSJIrl8C,"Ngoc Hoang Luong, Han La Poutré, Peter AN Bosman",2018,"Swarm and Evolutionary Computation 40, 238-254, 2018",22,"The Multi-objective Gene-pool Optimal Mixing Evolutionary Algorithm (MO-GOMEA) has been shown to be a promising solver for multi-objective combinatorial optimization problems, obtaining an excellent scalability on both standard benchmarks and real-world applications. To attain optimal performance, MO-GOMEA requires its two parameters, namely the population size and the number of clusters, to be set properly with respect to the problem instance at hand, which is a non-trivial task for any EA practitioner. In this article, we present a new version of MO-GOMEA in combination with the so-called Interleaved Multi-start Scheme (IMS) for the multi-objective domain that eliminates the manual setting of these two parameters. The new MO-GOMEA is then evaluated on multiple benchmark problems in comparison with two well-known multi-objective evolutionary algorithms (MOEAs): Non-dominated Sorting Genetic …"
5,Elitist archiving for multi-objective evolutionary algorithms: To adapt or not to adapt,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:IjCSPb-OGe4C,"Hoang N Luong, Peter AN Bosman",2012,"International Conference on Parallel Problem Solving from Nature, 72-81, 2012",22," Objective-space discretization is a popular method to control the elitist archive size for evolutionary multi-objective optimization and avoid problems with convergence. By setting the level of discretization, the proximity and diversity of the Pareto approximation set can be controlled. This paper proposes an adaptive archiving strategy which is developed from a rigid-grid discretization mechanism. The main advantage of this strategy is that the practitioner just decides the desirable target size for the elitist archive while all the maintenance details are automatically handled. We compare the adaptive and rigid archiving strategies on the basis of a performance indicator that measures front quality, success rate, and running time. Experimental results confirm the competitiveness of the adaptive method while showing its advantages in terms of transparency and ease of use."
6,Practice-oriented optimization of distribution network planning using metaheuristic algorithms,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:YsMSGLbcyi4C,"Marinus OW Grond, Hoang N Luong, Johan Morren, Peter AN Bosman, Han JG Slootweg, Han La Poutré",2014,"2014 Power Systems Computation Conference, 1-8, 2014",20,"Distribution network operators require more advanced planning tools to deal with the challenges of future network planning. An appropriate planning and optimization tool can identify which option for network extension should be selected from available alternatives. However, many optimization approaches described in the literature are quite theoretical and do not yield results that are practically relevant and feasible. In this paper, a distribution network planning approach is proposed which meets requirements originating from network planning practice to guarantee realistic outcomes. This approach uses a state-of-the-art evolutionary algorithm: Gene-pool Optimal Mixing Evolutionary Algorithm. The performance of this algorithm, as well as the proposed model, is demonstrated using a real-world case study."
7,The multi-objective real-valued gene-pool optimal mixing evolutionary algorithm,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:UebtZRa9Y70C,"Anton Bouter, Ngoc Hoang Luong, Cees Witteveen, Tanja Alderliesten, Peter AN Bosman",2017,"Proceedings of the Genetic and Evolutionary Computation Conference, 537-544, 2017",19,"The recently introduced Multi-Objective Gene-pool Optimal Mixing Evolutionary Algorithm (MO-GOMEA) exhibits excellent scalability in solving a wide range of challenging discrete multi-objective optimization problems. In this paper, we address scalability issues in solving multi-objective optimization problems with continuous variables by introducing the Multi-Objective Real-Valued GOMEA (MO-RV-GOMEA), which combines MO-GOMEA with aspects of the multi-objective estimation-of-distribution algorithm known as MAMaLGaM. MO-RV-GOMEA exploits linkage structure in optimization problems by performing distribution estimation, adaptation, and sampling as well as solution mixing based on an explicitly-defined linkage model. Such a linkage model can be defined a priori when some problem-specific knowledge is available, or it can be learned from the population. The scalability of MO-RV-GOMEA using …"
8,Entropy-based efficiency enhancement techniques for evolutionary algorithms,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:u5HHmVD_uO8C,"Hoang Ngoc Luong, Hai Thi Thanh Nguyen, Chang Wook Ahn",2012,"Information Sciences 188, 100-120, 2012",19,"This paper introduces the notion of an entropy measurement for populations of candidate solutions in evolutionary algorithms, developing both conditional and joint entropy-based algorithms. We describe the inherent characteristics of the entropy measurement and how these affect the search process. Following these discussions, we develop a recognition mechanism through which promising candidate solutions can be identified without the need of invoking costly evaluation functions. This on-demand evaluation strategy (ODES) is able to perform decision making tasks regardless of whether the actual fitness evaluation is necessary or not, making it an ideal efficiency enhancement technique for accelerating the computational process of evolutionary algorithms.Two different evolutionary algorithms, a traditional genetic algorithm and a multivariate estimation of distribution algorithm, are employed as example …"
9,Evaluation of bi-objective treatment planning for high-dose-rate prostate brachytherapy—A retrospective observer study,https://scholar.google.com//citations?view_op=view_citation&hl=vi&user=p3vHDZYAAAAJ&citation_for_view=p3vHDZYAAAAJ:M3ejUd6NZC8C,"Stefanus C Maree, Ngoc Hoang Luong, Ernst S Kooreman, Niek van Wieringen, Arjan Bel, Karel A Hinnen, Henrike Westerveld, Bradley R Pieters, Peter AN Bosman, Tanja Alderliesten",2019,"Brachytherapy 18 (3), 396-403, 2019",18,"PurposeBi-objective treatment planning for high-dose-rate prostate brachytherapy is a novel treatment planning method with two separate objectives that represent target coverage and organ-at-risk sparing. In this study, we investigated the feasibility and plan quality of this method by means of a retrospective observer study.Methods and MaterialsCurrent planning sessions were recorded to configure a bi-objective optimization model and to assess its applicability to our clinical practice. Optimization software, GOMEA, was then used to automatically generate a large set of plans with different trade-offs in the two objectives for each of 18 patients treated with high-dose-rate prostate brachytherapy. From this set, five plans per patient were selected for comparison to the clinical plan in terms of satisfaction of planning criteria and in a retrospective observer study. Three brachytherapists were asked to evaluate the …"
