No.,Author,Comment
0,Haminh Nguyen,"Nhìn cái ảnh đường Nguyễn Trãi phía trên mà đếm lượng người, thì kiểu gì cũng tắc thôi. Lượng người thì tăng dần, có giảm xe máy thì cũng tăng xe khác. Thế nên quan trọng nhất là quy hoạch giao thông, đường xá, phương tiện công cộng cần đi trước. Rồi hãng tính giảm xe gì thì giảm."
1,Bà Tám,"Nhìn 2 tấm ảnh, nhất là tấm số 2 thì tắc đường là do đâu? Tôi có ô tô nhưng giờ cao điểm luôn ra đường bằng xe máy và không bao giờ đi xe buýt vì sợ móc túi và thái độ phục vụ của một số tiếp viên.
Chừng nào giao thông công cộng còn chưa tốt thì đừng bàn chuyện cấm xe máy vì xe máy là phương tiện mà đa số người dân đều sử dụng."
2,chien hoang,Kẹt xe do ô tô càng thê thảm hơn !!!
3,nguyen.nguyen.6bk,"Muốn được như vậy phải đẩy nhanh Tàu điện ngầm, xe buýt công cộng, đường hầm, cầu vượt và đường trên cao. Còn chưa làm được mà cấm xe cá nhân chỉ làm mọi thứ thêm rối."
4,meccianbam,Cấm xe máy thì phải giảm thuế oto để người dân có đk mua xe. Oto phải giảm ít nhất 30%. Kèm theo mở rộng đường xá ra.
5,Than Van Quan,Nói thật là với hệ thống giao thông của HN và TPHCM thì cấm xe máy là chuyện quá khó. Mọi người nhớ lời tôi nói hôm nay và đợi 10-20 năm sau xem có đúng không.
6,thao81951,Nên cấm ô tô cá nhân nữa
7,Độc giả Anh Vũ giấu tên mạnh dạn phát biểu,"Cần có lộ trình hạn chế xe cá nhân
Chứ chỉ cấm xe máy, đương nhiên sẽ tăng ô tô cá nhân, chắc chắn tắc đường sẽ trầm trọng hơn
Và hạn chế nên theo kiểu thu phí thật cao, lấy phí đó trợ giá phương tiện công cộng, kiểu như xe bus đồng giá 100k mỗi tháng, ô tô mỗi ngày trong phố thu phí 200k (phí đỗ xe tính riêng), xe máy 50 hoặc 100k"
8,VIP,"Cấm luôn cả lực lượng xe ôm / giao hàng bằng xe máy nhé. Mặc dù lực lượng này cũng có vai trò nhất định trong cuộc sống hàng ngày, nhưng đã cấm là phải cấm triệt để, chứ đừng có kiểu ""ngoại trừ"". Các đơn vị cần giao hàng thì mua xe tải cỡ nhỏ mà giao, ngõ không vào được thì tài xế xuống đi bộ mang vào, cảm ơn!"
9,Van Son,"Thành phố Yangoon của Myanmar nghèo hơn Hà Nội và Tp.hồ chí minh nhiều, nhưng việc cấm xe gắn máy trong nội thành đã thực hiện rất tốt cách đây hàng chục năm rồi!"
10,23- trần nguyễn minh thiên,ỏ  thuế tiêu thụ đặc biệt với oto đã.
11,amdaclarae,"Cấm xe máy thì tăng oto vẫn tắc thôi, đường thì bé, quan trọng là phải nâng cấp hạ tầng mới đỡ ùn tắc"
12,Tí Sửu Dần Mão,"Nên chăng có thêm đôi ngày cấm ô tô cá nhân, ví dụ như thứ 3, thứ 5 hàng tuần xem tình hình giao thông của thủ đô thế nào?"
13,tkjoytoys,Hệ thống xe công cộng chưa ra gì mà cứ cấm hết cái này cái nọ. Bây h tất cả dân tp đi xe bus thì có cung cấp nổi ko????
14,vuhyundaiwelding,"Hạn chế xe cá nhân mà chỉ nhắm vào xe máy thì có khi bị phản tác dụng. Khi cấm xe máy thì đường xá sẽ thông thoáng hơn, khi đó người người sẽ đổ xô mua xe hơi với giá cả phải chăng để chạy. Tình hình sẽ lại vũ như cẩn. Chẳng lẽ đến lúc đó lại cấm luôn xe hơi ah? Nên chăng hạn chế tất cả các loại xe cá nhân là tốt nhất."
15,applehanoi2021,Khuyến khích đi xe đạp
16,doquanghoipt1958,"Có bột mới gột nên hồ, giao thông công cộng còn thiếu và không có đường để đi, năng lực vận chuyển thấp, tàu điện ngầm, tàu trên cao hàng thập kỷ mới có được vài km mà cứ nói tới việc cấm cái này cấm cái kia hoài liệu có thực tế không?"
17,Quang Hung Bui,"cấm xe máy chả ý nghĩa gì , dân đông kiểu gì cũng phải di chuyển , xe bus thì đã quá tải rồi, giờ chỉ trông chờ metro , mà metro thì cứ ì ạch nên chắc còn lâu"
